"","Vpn.Nr","sz1_1","sz1_2","sz1_3","sz1_4","sz1_5","sz1_6","sz1_7","sz1_8","sz1_9","sz2_1","sz2_2","sz2_3","sz2_4","sz2_5","sz2_6","sz2_7","sz2_8","sz2_9","uni_1","uni_2","uni_3","uni_4","uni_5","uni_6","uni_7","bf_1","bf_2","bf_3","bf_4","bf_5","bf_6","bf_7","bf_8","bf_9","bf_10","bf_11","bf_12","bf_13","bf_14","bf_15","bf_16","bf_17","bf_18","bf_19","bf_20","int_stat","int_it","sw_stat","sw_r","lezu_1","lezu_2","lezu_3","lezu_4","lezu_5","prok_1","prok_2","prok_3","prok_4","prok_5","prok_6","prok_7","prok_8","prok_9","prok_10","berufswunsch","berufswunsch_sonst","nebenjob","abi","geschl","alter","groesse","anz.geschw","bland","erq_1","erq_2","erq_3","erq_4","erq_5","erq_6","erq_7","erq_8","erq_9","erq_10","ros_1","ros_2","ros_3","ros_4","ros_5","ros_6","ros_7","ros_8","ros_9","ros_10","uni_1.f","uni_2.f","uni_3.f","uni_4.f","uni_5.f","uni_6.f","uni_7.f","berufswunsch.f","nebenjob.f","geschl.f","bland.f","prok_2.r","prok_3.r","prok_5.r","prok_7.r","prok_8.r","ros_2.r","ros_5.r","ros_6.r","ros_8.r","ros_9.r","SZ1_INH","SZ1_BED","SZ1_BEL","SZ2_INH","SZ2_BED","SZ2_BEL","BF_EXT","BF_VER","BF_GEW","BF_NEU","BF_OFF","LEZU","PROK","REAP","SUPP","SW"
"73",73,5,2,1,5,2,1,5,3,4,4,1,3,5,2,3,4,2,5,1,2,2,1,2,1,2,2,4,5,4,4,2,5,4,4,4,5,3,2,3,4,2,3,3,5,4,3,1,2,1,5,6,5,4,4,4,2,2,4,3,3,1,3,4,4,1,NA,1,1.7,1,20,173,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","ja","klinische Psychologie","ja","weiblich","RP",3,3,2,4,2,NA,NA,NA,NA,NA,5,2.33333333333333,2,4.33333333333333,1.66666666666667,3.66666666666667,2,3.75,4.75,4,3.5,4.8,3.3,NA,NA,NA
"74",74,4,2,1,4,2,1,4,1,1,5,2,1,4,2,1,5,1,1,2,1,1,2,2,2,2,5,5,2,1,3,5,3,2,4,1,3,1,2,4,5,4,2,1,1,1,1,1,3,3,7,7,7,7,7,2,3,1,2,2,1,3,1,4,3,3,NA,2,1.6,1,19,167,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ja","nein","nein","ja","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","BW",2,4,3,2,4,NA,NA,NA,NA,NA,4,1.66666666666667,1,4.66666666666667,1.66666666666667,1,4,3.5,2.25,1,3,7,2.7,NA,NA,NA
"75",75,5,4,2,4,2,1,5,3,1,5,3,3,5,1,1,5,3,1,1,2,2,1,2,2,2,3,4,4,2,4,2,4,1,3,3,4,4,5,5,3,4,4,3,3,4,3,2,2,3,5,6,6,6,5,2,4,3,2,4,1,3,4,2,1,3,NA,2,1.6,2,26,179,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","nein","m‰nnlich","RP",1,2,1,2,1,NA,NA,NA,NA,NA,4.66666666666667,3,1.33333333333333,5,2.33333333333333,1.66666666666667,3.5,3,4,3,3.75,5.6,1.5,NA,NA,NA
"76",76,4,4,1,3,1,1,4,3,2,4,4,2,4,2,1,4,3,2,1,2,2,1,2,2,2,3,4,2,4,4,3,2,4,4,4,4,4,2,3,3,2,3,3,4,2,1,1,3,3,5,6,6,5,4,2,1,2,3,2,1,4,3,3,2,3,NA,1,3.1,1,18,165,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","ja","weiblich","NW",4,3,3,1,2,NA,NA,NA,NA,NA,3.66666666666667,2.66666666666667,1.33333333333333,4,3,1.66666666666667,2.5,3.5,2.5,4,3.5,5.2,2.4,NA,NA,NA
"77",77,5,1,1,5,1,1,5,1,1,5,1,2,5,1,1,5,1,1,1,1,2,2,2,2,2,4,5,4,3,4,4,4,5,4,3,4,2,5,3,4,3,4,4,2,4,3,3,3,4,7,7,7,7,7,3,3,2,3,3,1,4,4,2,3,3,NA,2,2.6,1,24,162,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","ja","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","BE",2,3,2,1,1,NA,NA,NA,NA,NA,5,1,1,5,1,1.33333333333333,4,4.5,4,2.5,3.75,7,2.1,NA,NA,NA
"78",78,5,3,3,4,4,2,5,4,3,5,4,3,4,2,3,4,4,3,1,1,1,1,2,2,2,4,5,4,3,3,5,4,4,3,3,5,2,4,4,5,2,4,3,3,4,2,2,3,3,5,5,5,6,5,2,3,4,2,4,1,4,3,1,1,3,NA,1,1.9,1,19,165,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","nein","nein","ja","ja","ja","Wirtschaftspsychologie","ja","weiblich","NW",2,1,1,1,2,NA,NA,NA,NA,NA,4.66666666666667,3.66666666666667,2.66666666666667,4.33333333333333,3.33333333333333,3,3.75,4.5,4.25,2.75,3.25,5.2,1.4,NA,NA,NA
"79",79,4,3,2,4,1,1,5,4,2,4,3,2,4,2,1,5,4,2,1,2,2,2,2,2,2,3,4,4,2,4,3,4,4,4,2,4,1,3,4,4,1,4,4,1,4,3,3,4,4,5,6,6,7,5,3,2,1,3,2,3,2,3,2,1,4,NA,2,1.8,2,34,167,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","Forschung","nein","m‰nnlich","RP",3,4,3,3,2,NA,NA,NA,NA,NA,4.33333333333333,2.66666666666667,1.66666666666667,4.33333333333333,3,1.66666666666667,2.5,4,4,1.5,4,5.8,2.7,NA,NA,NA
"80",80,4,3,3,4,2,2,4,3,2,3,2,3,4,3,3,4,3,3,1,2,2,1,2,2,2,4,4,3,3,4,3,3,3,4,3,4,2,3,2,3,2,3,4,3,4,3,2,3,3,5,5,5,6,5,2,2,1,2,3,2,3,2,3,3,3,NA,1,1.8,1,24,171,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","ja","weiblich","BW",3,4,2,2,3,NA,NA,NA,NA,NA,4,2.66666666666667,2.33333333333333,3.66666666666667,2.66666666666667,3,3,3.25,3.5,2.75,3.5,5.2,2.6,NA,NA,NA
"81",81,4,5,1,5,2,1,4,3,1,4,5,1,5,1,1,4,3,1,1,1,2,2,2,2,1,5,3,5,3,4,4,5,5,3,3,5,3,5,3,5,2,5,3,2,4,3,2,3,3,7,7,7,7,5,3,1,3,3,2,1,2,3,3,1,1,NA,2,1.6,1,18,177,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","ja","ja","ja","nein","klinische Psychologie","nein","weiblich","BY",4,2,3,3,2,NA,NA,NA,NA,NA,4.33333333333333,3.33333333333333,1,4.33333333333333,3,1,4,4.5,4.75,2.75,3.25,6.6,2.5,NA,NA,NA
"82",82,4,4,3,5,2,2,4,2,3,5,4,2,5,2,2,5,3,3,1,2,2,1,2,1,2,5,5,2,4,4,5,2,5,4,4,4,3,5,3,5,3,5,4,3,2,2,2,3,2,6,6,6,6,6,3,2,1,3,2,2,3,4,3,2,1,NA,2,2.7,1,22,185,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","ja","klinische Psychologie","nein","weiblich","RP",3,4,3,2,1,NA,NA,NA,NA,NA,4.33333333333333,2.66666666666667,2.66666666666667,5,3,2.33333333333333,4.5,5,2.5,3.5,3.75,6,2.6,NA,NA,NA
"83",83,4,4,3,4,4,2,4,4,4,4,4,3,4,4,2,4,4,3,1,2,2,2,2,2,2,3,4,4,4,4,3,4,4,4,4,5,3,4,4,4,3,4,4,4,4,2,3,2,2,4,6,4,3,3,3,1,1,3,2,3,2,2,4,3,1,NA,2,1.7,1,19,170,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","SL",4,4,3,3,3,NA,NA,NA,NA,NA,4,4,3,4,4,2.66666666666667,3.25,4,4.25,3.75,4,4,3.3,NA,NA,NA
"84",84,4,3,1,4,3,1,4,2,2,5,2,1,4,3,1,4,2,2,1,2,2,2,2,2,2,3,4,4,5,4,3,4,4,4,4,4,2,2,4,3,2,4,3,5,3,2,1,1,1,3,3,3,5,3,3,2,2,4,2,2,4,3,2,2,3,NA,2,1.5,1,23,170,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","BW",3,3,3,1,2,NA,NA,NA,NA,NA,4,2.66666666666667,1.33333333333333,4.33333333333333,2.33333333333333,1.33333333333333,2.5,3.75,3.75,4,3.75,3.4,2.5,NA,NA,NA
"85",85,4,5,4,3,4,3,5,5,4,5,5,5,5,4,2,5,5,2,1,2,2,2,2,1,1,5,5,4,4,3,3,3,5,3,4,5,2,3,4,4,3,3,4,4,4,2,2,5,4,5,5,6,5,5,4,1,1,4,3,3,3,4,4,4,1,NA,1,2.1,2,20,168,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","klinische Psychologie","ja","m‰nnlich","BW",4,4,2,2,1,NA,NA,NA,NA,NA,4,4.66666666666667,3.66666666666667,5,4.66666666666667,3,3.5,4.25,4,3.5,3.5,5.2,3.2,NA,NA,NA
"86",86,3,3,4,4,2,3,3,3,4,4,3,5,4,2,3,4,3,4,1,1,2,1,2,1,2,3,4,2,4,3,4,1,4,3,4,2,2,4,3,5,3,3,4,5,3,1,1,2,1,6,7,6,6,6,3,2,1,3,2,3,2,2,3,4,1,NA,2,1.7,1,19,171,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","nein","ja","klinische Psychologie","nein","weiblich","BW",3,4,3,3,3,NA,NA,NA,NA,NA,3.33333333333333,2.66666666666667,3.66666666666667,4,2.66666666666667,4,3.5,4,2,3.75,3.25,6.2,3.2,NA,NA,NA
"87",87,5,3,2,5,2,2,5,3,4,5,3,1,5,1,1,5,4,4,1,2,2,1,2,1,2,5,3,4,2,4,5,4,3,5,2,4,3,5,5,3,5,4,5,3,5,1,3,2,1,5,6,6,6,6,3,2,2,3,2,1,3,4,2,2,1,NA,1,1.4,1,21,162,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","ja","klinische Psychologie","ja","weiblich","Ausland",3,3,3,2,1,NA,NA,NA,NA,NA,5,2.66666666666667,2.66666666666667,5,2.66666666666667,2,5,3.25,4.25,2.5,4.75,5.8,2.3,NA,NA,NA
"88",88,3,2,3,4,4,4,5,2,4,3,2,4,4,2,4,4,2,4,1,2,2,2,2,1,1,2,4,4,5,4,2,4,5,3,4,4,4,2,3,5,3,4,3,5,3,2,4,1,3,3,6,3,2,1,2,2,4,3,2,4,3,1,4,3,1,NA,2,1.5,1,22,177,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","nein","klinische Psychologie","nein","weiblich","BW",3,1,3,2,4,NA,NA,NA,NA,NA,4,2.66666666666667,3.66666666666667,3.66666666666667,2,4,2.25,4.5,3.75,4.5,3.25,3,2.9,NA,NA,NA
"89",89,5,3,4,5,2,1,5,2,3,5,2,4,5,4,1,5,2,3,1,2,2,2,2,1,2,5,2,4,4,4,4,4,3,3,3,4,5,5,3,2,5,4,3,4,4,3,1,3,3,6,6,6,4,2,3,1,1,3,3,3,3,3,3,4,1,NA,2,3.3,1,24,167,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","klinische Psychologie","nein","weiblich","NW",4,4,2,2,2,NA,NA,NA,NA,NA,5,2.33333333333333,2.66666666666667,5,2.66666666666667,2.66666666666667,4.75,2.75,4,4,3.25,4.8,3,NA,NA,NA
"90",90,5,2,1,5,1,2,4,2,3,3,2,4,3,1,2,4,2,3,2,1,2,2,2,2,2,3,2,2,4,4,4,1,5,3,4,2,5,4,4,4,5,3,4,4,1,4,5,4,5,5,2,3,2,2,3,1,2,4,2,4,1,2,3,2,5,"Klinische Psychologie / Wirtschaftspsychologie / Forschung / Psychologe bei der Bundeswehr / Coaching - ich bin noch untentschlossen.",2,1.7,2,21,164,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ja","nein","ja","ja","ja","ja","ja","sonstiges","nein","m‰nnlich","RP",4,3,3,4,3,NA,NA,NA,NA,NA,4.66666666666667,1.66666666666667,2,3.33333333333333,1.66666666666667,3,4,3.5,1.5,4.25,3.75,2.8,3.3,NA,NA,NA
"91",91,4,2,1,4,1,3,4,2,4,4,1,2,4,2,3,4,2,3,1,2,2,2,2,2,2,4,4,3,4,3,4,3,4,3,3,4,2,3,3,4,3,4,3,4,3,2,2,3,4,5,5,5,4,4,2,2,2,2,3,1,3,3,3,3,1,NA,2,2.3,1,20,165,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","NW",3,3,2,2,2,NA,NA,NA,NA,NA,4,1.66666666666667,2.66666666666667,4,1.66666666666667,2.66666666666667,3.5,4,3.25,3.25,3,4.6,2.3,NA,NA,NA
"92",92,5,2,2,5,2,2,5,2,2,5,1,1,5,2,2,5,2,1,1,2,2,1,2,2,2,4,4,3,3,3,4,4,4,3,3,5,2,3,3,4,2,5,3,4,4,2,2,2,2,7,7,7,7,7,3,2,2,3,3,1,3,3,3,1,3,NA,2,1.4,1,19,168,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","BW",3,3,2,2,2,NA,NA,NA,NA,NA,5,2,2,5,1.66666666666667,1.33333333333333,3.25,4.25,4,3,3,7,2.3,NA,NA,NA
"93",93,4,4,2,3,2,2,4,2,2,4,4,3,3,2,2,4,2,2,1,2,2,1,2,1,1,3,4,3,3,3,3,4,4,3,2,4,3,3,3,4,3,4,3,4,4,1,1,2,2,6,7,6,6,5,4,4,2,3,3,2,3,4,3,2,3,NA,1,3.3,1,21,176,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","nein","Wirtschaftspsychologie","ja","weiblich","BW",1,3,2,2,1,NA,NA,NA,NA,NA,3.66666666666667,2.66666666666667,2,3.66666666666667,2.66666666666667,2.33333333333333,3,4,3.75,3,3,6,2.3,NA,NA,NA
"94",94,4,2,3,3,2,3,5,2,4,3,2,4,3,1,3,5,2,4,1,1,2,1,2,2,2,3,5,5,5,3,3,5,4,3,5,5,2,3,3,5,2,5,3,5,5,3,4,2,3,4,5,5,6,5,3,3,1,3,3,2,3,1,2,4,1,NA,2,1.7,1,21,165,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","BW",2,4,2,2,4,NA,NA,NA,NA,NA,4,2,3.33333333333333,3.66666666666667,1.66666666666667,3.66666666666667,2.75,4.75,5,4.25,3,5,2.8,NA,NA,NA
"95",95,3,1,1,5,1,1,4,1,1,5,3,1,5,1,1,5,1,1,1,1,2,1,2,2,2,5,5,5,2,5,5,5,5,5,3,4,2,3,3,5,2,5,4,1,3,2,1,4,3,7,7,6,7,7,1,2,2,2,2,1,3,4,1,2,1,NA,1,1.6,1,21,172,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","ja","ja","klinische Psychologie","ja","weiblich","RP",3,3,3,2,1,NA,NA,NA,NA,NA,4,1,1,5,1.66666666666667,1,3.75,5,4.25,2,4.25,6.8,1.9,NA,NA,NA
"96",96,3,5,4,4,3,1,4,4,4,4,5,4,4,3,3,4,4,4,1,1,2,1,2,2,2,4,5,3,3,3,4,4,5,3,2,5,2,3,3,4,2,5,4,2,3,1,1,1,1,5,4,6,7,6,2,3,2,2,3,1,3,3,2,3,1,NA,1,1.5,1,32,160,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","ja","ja","klinische Psychologie","ja","weiblich","HH",2,3,2,2,2,NA,NA,NA,NA,NA,3.66666666666667,4,3,4,4,3.66666666666667,3.25,4.75,3.75,2.25,3.25,5.6,2.1,NA,NA,NA
"97",97,4,2,3,5,3,1,5,3,3,5,4,3,5,4,2,5,3,3,1,2,2,1,2,1,1,3,4,4,4,4,3,4,5,4,3,4,3,4,3,4,3,5,4,4,4,3,3,4,3,6,6,6,6,6,3,3,2,3,2,3,3,3,3,3,3,NA,1,1.6,1,19,163,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","nein","Wirtschaftspsychologie","ja","weiblich","RP",2,3,3,2,2,NA,NA,NA,NA,NA,4.66666666666667,2.66666666666667,2.33333333333333,5,3.66666666666667,2.66666666666667,3.25,4.5,4,3.5,3.75,6,2.7,NA,NA,NA
"98",98,4,2,2,4,1,2,5,2,2,5,2,2,5,1,1,5,2,2,1,2,2,2,2,1,2,3,4,4,3,4,3,3,4,4,3,4,2,4,4,3,3,4,4,2,3,3,3,4,4,7,7,7,7,6,2,2,3,2,3,1,3,4,1,1,1,NA,2,1.6,1,21,165,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","klinische Psychologie","nein","weiblich","BW",3,2,2,2,1,NA,NA,NA,NA,NA,4.33333333333333,1.66666666666667,2,5,1.66666666666667,1.66666666666667,3.25,3.75,3.5,2.5,4,6.8,1.7,NA,NA,NA
"99",99,4,2,3,4,2,3,5,1,3,4,2,2,5,1,1,5,4,2,1,2,2,1,2,2,2,4,4,2,3,4,4,3,5,4,3,3,3,3,4,4,2,5,4,3,4,4,4,4,3,6,6,6,6,5,3,2,1,3,2,1,2,4,3,1,1,NA,2,2.3,2,23,173,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","m‰nnlich","BW",3,4,3,3,1,NA,NA,NA,NA,NA,4.33333333333333,1.66666666666667,3,4.66666666666667,2.33333333333333,1.66666666666667,3.25,4.5,3,3,4,5.8,2.5,NA,NA,NA
"100",100,4,4,2,4,3,2,4,3,2,4,4,2,4,3,1,4,3,3,1,2,2,1,2,2,2,4,4,4,3,4,4,4,3,3,3,4,3,5,4,3,4,4,4,3,4,3,2,3,4,7,7,7,7,6,2,2,2,2,3,2,3,4,2,3,1,NA,2,1.5,1,23,170,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","BW",3,3,2,2,1,NA,NA,NA,NA,NA,4,3.33333333333333,2,4,3.33333333333333,2,4.25,3.5,4,3,3.75,6.8,2.2,NA,NA,NA
"101",101,5,2,1,5,1,1,5,2,2,5,4,2,5,1,1,5,2,1,1,2,2,2,2,1,2,4,5,3,3,4,4,4,5,4,2,4,2,4,3,5,4,4,3,5,4,3,2,4,4,6,6,7,5,5,3,3,2,3,3,2,3,3,3,2,1,NA,1,2.2,1,21,162,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","klinische Psychologie","ja","weiblich","BW",2,3,2,2,2,NA,NA,NA,NA,NA,5,1.66666666666667,1.33333333333333,5,2.33333333333333,1.33333333333333,4,4.75,3.75,3,3.5,5.8,2.4,NA,NA,NA
"102",102,5,4,3,4,2,1,5,1,2,5,5,3,5,3,2,5,1,3,1,2,2,1,2,2,2,5,5,3,4,4,4,2,4,4,2,3,3,4,2,4,4,4,2,4,4,4,1,4,4,4,5,5,5,5,4,2,2,4,3,1,2,4,4,3,3,NA,2,1.6,1,19,190,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","NI",3,3,2,3,1,NA,NA,NA,NA,NA,4.66666666666667,2.33333333333333,2,5,3,2.66666666666667,4.25,4.25,3,3.25,3,4.8,2.8,NA,NA,NA
"103",103,3,3,2,5,2,1,5,2,3,3,1,3,5,1,2,3,2,3,1,2,2,2,2,2,2,3,4,3,4,3,3,3,4,3,3,3,2,3,3,4,2,4,2,2,3,3,1,3,2,6,7,7,6,5,3,2,1,3,2,3,3,2,3,4,1,NA,2,1.5,1,20,167,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","BW",3,4,3,2,3,NA,NA,NA,NA,NA,4.33333333333333,2.33333333333333,2,3.66666666666667,1.33333333333333,2.66666666666667,2.75,4,3,2.75,2.75,6.2,3.1,NA,NA,NA
"104",104,4,2,1,5,2,1,5,2,2,5,2,1,5,2,1,5,2,2,1,2,2,2,2,1,2,4,5,3,2,4,5,3,4,5,1,4,2,5,4,4,4,5,4,1,3,3,3,4,5,6,6,7,6,6,3,3,2,2,2,2,3,3,2,3,1,NA,2,2,1,23,185,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","klinische Psychologie","nein","weiblich","HE",2,3,3,2,2,NA,NA,NA,NA,NA,4.66666666666667,2,1.33333333333333,5,2,1.33333333333333,4.5,4.5,3.25,1.5,4.25,6.2,2.4,NA,NA,NA
"105",105,4,5,2,4,4,2,4,4,4,5,4,3,5,4,2,5,3,4,1,1,2,1,2,1,2,3,4,4,4,3,3,4,5,3,4,4,2,4,4,4,3,4,3,4,4,1,1,3,3,6,7,6,7,7,1,2,2,2,3,4,3,4,3,4,2,NA,1,1.5,1,20,174,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","nein","ja","p‰dagogische Psychologie","ja","weiblich","RP",3,3,2,2,1,NA,NA,NA,NA,NA,4,4.33333333333333,2.66666666666667,5,3.66666666666667,3,3.25,4.25,4,3.5,3.25,6.6,2.5,NA,NA,NA
"106",106,5,2,2,4,1,2,5,3,2,5,3,2,4,2,2,5,3,2,1,2,2,1,2,2,2,4,4,2,2,4,4,1,4,4,2,3,2,3,3,4,2,4,4,2,2,2,3,4,3,7,7,6,7,7,3,2,1,3,2,2,2,3,2,3,1,NA,2,1.2,2,20,173,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","m‰nnlich","NW",3,4,3,3,2,NA,NA,NA,NA,NA,4.66666666666667,2,2,4.66666666666667,2.66666666666667,2,3.25,4,2,2,3.75,6.8,2.8,NA,NA,NA
"107",107,3,2,4,3,4,3,4,4,4,3,4,4,3,4,2,4,4,3,2,2,2,2,2,1,1,4,5,3,4,3,3,3,5,3,5,4,2,5,3,5,2,5,5,5,3,2,4,2,3,2,2,3,2,4,4,2,2,3,3,4,2,3,2,3,1,NA,2,2.7,1,19,176,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ja","ja","ja","ja","ja","nein","nein","klinische Psychologie","nein","weiblich","BE",3,3,2,3,2,NA,NA,NA,NA,NA,3.33333333333333,3.33333333333333,3.66666666666667,3.33333333333333,4,3,3.5,5,3.25,4,3.5,2.6,2.9,NA,NA,NA
"108",108,4,3,1,4,3,2,4,2,2,4,3,1,4,1,2,4,1,2,1,1,2,1,2,1,1,3,4,3,4,4,3,2,4,3,3,3,2,3,3,3,4,4,4,5,3,3,4,2,4,4,4,4,5,3,3,2,1,3,2,3,2,2,4,2,5,"noch nich ganz sicher evtl gerne Forensische Psy.",2,1.5,1,20,164,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","nein","nein","sonstiges","nein","weiblich","BE",3,4,3,3,3,NA,NA,NA,NA,NA,4,2.66666666666667,1.66666666666667,4,1.66666666666667,1.66666666666667,3.25,3.75,2.75,3.5,3.5,4,3.1,NA,NA,NA
"109",109,5,3,2,5,2,1,5,3,3,5,4,1,5,2,1,5,3,3,1,2,2,2,2,2,2,5,5,5,2,4,4,5,5,3,1,5,1,4,4,5,4,5,3,2,5,3,2,2,3,7,7,7,7,7,1,3,3,2,3,1,3,4,1,3,1,NA,2,1,1,19,169,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","klinische Psychologie","nein","weiblich","NW",2,2,2,2,1,NA,NA,NA,NA,NA,5,2.66666666666667,2,5,3,1.66666666666667,4.25,5,5,1.5,3.5,7,1.7,NA,NA,NA
